                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.43539,                0.67593,                 1.1609,                0.92841,                0.92865,                0.97521,                0.93607,                0.16818,                 2.6555,                0.74503,               0.006436,               0.006436,               0.006436
                     38,                0.43722,                0.67753,                 1.1624,                0.92796,                0.92972,                0.97533,                0.93671,                0.16691,                 2.6434,                0.74377,               0.006337,               0.006337,               0.006337
                     39,                0.43112,                0.67157,                 1.1582,                 0.9285,                0.92997,                0.97554,                0.93745,                0.16618,                 2.6489,                0.74311,               0.006238,               0.006238,               0.006238
                     40,                  0.431,                 0.6747,                 1.1591,                0.93103,                0.92888,                0.97575,                0.93839,                0.16507,                 2.6623,                0.74167,               0.006139,               0.006139,               0.006139
                     41,                0.42802,                0.66727,                 1.1551,                0.93229,                 0.9278,                0.97597,                0.93903,                0.16391,                 2.6699,                0.74036,                0.00604,                0.00604,                0.00604
                     42,                0.42953,                0.66758,                 1.1585,                0.93046,                0.93108,                0.97617,                0.93963,                0.16298,                 2.6708,                0.73928,               0.005941,               0.005941,               0.005941
                     43,                0.42271,                0.66196,                 1.1527,                0.93356,                0.92877,                0.97641,                0.94025,                0.16173,                 2.6596,                0.73777,               0.005842,               0.005842,               0.005842
                     44,                 0.4192,                0.66286,                 1.1479,                0.93175,                0.93085,                0.97661,                0.94094,                 0.1611,                 2.6533,                0.73669,               0.005743,               0.005743,               0.005743
                     45,                0.42068,                0.66644,                 1.1545,                0.93265,                0.93082,                0.97684,                0.94141,                0.16013,                 2.6475,                0.73546,               0.005644,               0.005644,               0.005644
                     46,                0.42079,                  0.657,                 1.1531,                0.93214,                0.93207,                0.97709,                0.94199,                0.15935,                 2.6277,                0.73448,               0.005545,               0.005545,               0.005545
                     47,                0.41964,                0.65363,                 1.1495,                0.93171,                0.93229,                0.97716,                0.94259,                0.15814,                 2.6046,                0.73338,               0.005446,               0.005446,               0.005446
                     48,                0.41363,                0.65055,                  1.144,                0.93156,                0.93339,                0.97738,                0.94354,                0.15712,                 2.6052,                0.73231,               0.005347,               0.005347,               0.005347
                     49,                0.41394,                0.65784,                 1.1446,                0.93223,                0.93346,                0.97755,                0.94405,                0.15597,                 2.5898,                0.73107,               0.005248,               0.005248,               0.005248
                     50,                0.40962,                0.64394,                 1.1419,                0.93232,                0.93391,                0.97774,                0.94456,                0.15487,                 2.5605,                0.72975,               0.005149,               0.005149,               0.005149
                     51,                0.41137,                0.64553,                 1.1432,                0.93415,                0.93279,                0.97783,                0.94496,                0.15427,                 2.5478,                0.72896,                0.00505,                0.00505,                0.00505
                     52,                0.40672,                0.64684,                 1.1395,                0.93485,                0.93232,                0.97803,                0.94546,                0.15377,                 2.5178,                0.72808,               0.004951,               0.004951,               0.004951
                     53,                0.40365,                 0.6419,                 1.1369,                0.93476,                0.93287,                 0.9782,                0.94594,                0.15254,                 2.4868,                0.72678,               0.004852,               0.004852,               0.004852
                     54,                0.40566,                0.64226,                 1.1393,                0.93534,                0.93248,                0.97839,                0.94653,                0.15154,                 2.4639,                0.72569,               0.004753,               0.004753,               0.004753
                     55,                0.40276,                0.64349,                 1.1368,                0.93587,                0.93306,                0.97858,                0.94707,                 0.1509,                 2.4628,                0.72468,               0.004654,               0.004654,               0.004654
                     56,                0.40145,                 0.6378,                 1.1371,                0.93582,                0.93474,                0.97889,                0.94776,                 0.1499,                 2.4519,                0.72344,               0.004555,               0.004555,               0.004555
